MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME
December-2019,181.01,1,18101,Census Tract 181.01
December-2019,184.0,1,18400,Census Tract 184
December-2019,189.0,1,18900,Census Tract 189
December-2019,199.0,1,19900,Census Tract 199
December-2019,229.02,1,22902,Census Tract 229.02
December-2019,233.0,1,23300,Census Tract 233
December-2019,237.02,1,23702,Census Tract 237.02
December-2019,245.0,2,24500,Census Tract 245
December-2019,267.02,1,26702,Census Tract 267.02
December-2019,273.0,2,27300,Census Tract 273
December-2019,295.0,1,29500,Census Tract 295
December-2019,297.0,1,29700,Census Tract 297
December-2019,328.0,1,32800,Census Tract 328
December-2019,345.0,1,34500,Census Tract 345
December-2019,371.0,1,37100,Census Tract 371
December-2019,380.0,1,38000,Census Tract 380
December-2019,382.0,1,38200,Census Tract 382
December-2019,385.0,1,38500,Census Tract 385
December-2019,386.0,1,38600,Census Tract 386
December-2019,406.0,1,40600,Census Tract 406
December-2019,414.0,2,41400,Census Tract 414
December-2019,426.0,1,42600,Census Tract 426
December-2019,444.0,1,44400,Census Tract 444
December-2019,448.0,1,44800,Census Tract 448
December-2019,516.0,1,51600,Census Tract 516
December-2019,542.0,2,54200,Census Tract 542
December-2019,779.03,1,77903,Census Tract 779.03
December-2019,779.04,2,77904,Census Tract 779.04
December-2019,799.0,1,79900,Census Tract 799
December-2019,859.0,3,85900,Census Tract 859
December-2019,997.05,1,99705,Census Tract 997.05
December-2019,1059.0,1,105900,Census Tract 1059
December-2019,1093.0,2,109300,Census Tract 1093
December-2019,1097.0,1,109700,Census Tract 1097
December-2019,1099.0,1,109900,Census Tract 1099
December-2019,1175.0,2,117500,Census Tract 1175
December-2019,1189.0,1,118900,Census Tract 1189
December-2019,1207.0,1,120700,Census Tract 1207
December-2019,1215.0,2,121500,Census Tract 1215
December-2019,1223.0,1,122300,Census Tract 1223
December-2019,1241.0,3,124100,Census Tract 1241
December-2019,1247.0,1,124700,Census Tract 1247
December-2019,1265.0,2,126500,Census Tract 1265
December-2019,1291.02,4,129102,Census Tract 1291.02
December-2019,1347.0,2,134700,Census Tract 1347
December-2019,1409.02,2,140902,Census Tract 1409.02
December-2019,1417.0,1,141700,Census Tract 1417
