MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME
October-2019,131.04,1,13104,Census Tract 131.04
October-2019,149.0,1,14900,Census Tract 149
October-2019,216.0,1,21600,Census Tract 216
October-2019,217.03,1,21703,Census Tract 217.03
October-2019,403.03,1,40303,Census Tract 403.03
October-2019,799.0,1,79900,Census Tract 799
October-2019,907.0,1,90700,Census Tract 907
October-2019,1409.01,1,140901,Census Tract 1409.01
October-2019,1551.02,1,155102,Census Tract 1551.02
September-2019,9.0,1,900,Census Tract 9
September-2019,13.03,1,1303,Census Tract 13.03
September-2019,32.0,1,3200,Census Tract 32
September-2019,35.0,1,3500,Census Tract 35
September-2019,47.0,1,4700,Census Tract 47
September-2019,67.0,1,6700,Census Tract 67
September-2019,72.0,2,7200,Census Tract 72
September-2019,76.0,1,7600,Census Tract 76
September-2019,81.0,1,8100,Census Tract 81
September-2019,91.0,1,9100,Census Tract 91
September-2019,103.0,1,10300,Census Tract 103
September-2019,110.0,1,11000,Census Tract 110
September-2019,111.0,1,11100,Census Tract 111
September-2019,112.02,1,11202,Census Tract 112.02
September-2019,113.0,2,11300,Census Tract 113
September-2019,114.0,1,11400,Census Tract 114
September-2019,119.0,1,11900,Census Tract 119
September-2019,131.04,1,13104,Census Tract 131.04
September-2019,132.01,1,13201,Census Tract 132.01
September-2019,947.0,1,94700,Census Tract 947
September-2019,1175.0,1,117500,Census Tract 1175
September-2019,1429.0,1,142900,Census Tract 1429
September-2019,1459.0,1,145900,Census Tract 1459
September-2019,1463.0,1,146300,Census Tract 1463
September-2019,1507.02,1,150702,Census Tract 1507.02
