,Geoid,Winter_ReportCount_ConEd,Winter_ReportCount_NYFD,CountyName,CensusTract
287,36081018502,1.0,,Queens County,185.02
288,36081016900,2.0,,Queens County,169.0
289,36081015900,1.0,,Queens County,159.0
290,36081015700,1.0,,Queens County,157.0
291,36081014500,1.0,,Queens County,145.0
292,36081014300,1.0,,Queens County,143.0
293,36081012301,3.0,,Queens County,123.01
294,36081011300,1.0,,Queens County,113.0
295,36081009700,4.0,,Queens County,97.0
296,36081008300,1.0,,Queens County,83.0
297,36081008100,1.0,,Queens County,81.0
298,36081007900,2.0,,Queens County,79.0
299,36081007700,1.0,,Queens County,77.0
300,36081005100,2.0,,Queens County,51.0
301,36081004500,1.0,,Queens County,45.0
302,36081003900,1.0,,Queens County,39.0
303,36081003100,1.0,,Queens County,31.0
304,36061031100,1.0,,New York County,311.0
305,36061029500,2.0,,New York County,295.0
306,36061024500,3.0,,New York County,245.0
307,36061024302,1.0,,New York County,243.02
308,36061024200,1.0,,New York County,242.0
309,36061023700,2.0,,New York County,237.0
310,36061023200,1.0,,New York County,232.0
311,36061022700,1.0,,New York County,227.0
312,36061020800,1.0,,New York County,208.0
313,36061020500,1.0,,New York County,205.0
314,36061020102,1.0,,New York County,201.02
315,36061019701,1.0,,New York County,197.01
316,36061019300,3.0,,New York County,193.0
317,36061018900,1.0,,New York County,189.0
318,36061018800,1.0,,New York County,188.0
319,36061018500,1.0,,New York County,185.0
320,36061018300,1.0,,New York County,183.0
321,36061018200,1.0,,New York County,182.0
322,36061017900,1.0,,New York County,179.0
323,36061017500,1.0,,New York County,175.0
324,36061017402,1.0,,New York County,174.02
325,36061017300,1.0,,New York County,173.0
326,36061017100,3.0,,New York County,171.0
327,36061016600,5.0,,New York County,166.0
328,36061015700,2.0,,New York County,157.0
329,36061015300,2.0,,New York County,153.0
330,36061015002,2.0,,New York County,150.02
331,36061014802,1.0,,New York County,148.02
332,36061014300,2.0,,New York County,143.0
333,36061013400,1.0,,New York County,134.0
334,36061013000,2.0,,New York County,130.0
335,36061012900,3.0,,New York County,129.0
336,36061012200,1.0,,New York County,122.0
337,36061011700,1.0,,New York County,117.0
338,36061011203,1.0,,New York County,112.03
339,36061011201,1.0,,New York County,112.01
340,36061011100,5.0,,New York County,111.0
341,36061010602,1.0,,New York County,106.02
