,TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTrack,CensusBlock,CountyName
64,QL19007859,40.74645,-73.82433,11355,P,10/26/2019 11:55 AM,799,1005,Queens County
65,QL19008127,40.76013,-73.77501,11361,P,11/03/2019 03:11 PM,1467,3006,Queens County
66,QL19008248,40.74726,-73.71899,11004,M,11/06/2019 11:28 AM,1551.03,5003,Queens County
67,QL19008283,40.74348,-73.87057,11373,M,11/07/2019 08:15 AM,463,2003,Queens County
68,QL19008327,40.75178,-73.76709,11364,M,11/07/2019 04:47 PM,1399,2008,Queens County
69,QL19008577,40.74292,-73.77616,11365,M,11/14/2019 07:09 PM,1347.02,2001,Queens County
70,QL19008585,40.76676,-73.76451999999999,11361,M,11/15/2019 10:21 AM,1113,3008,Queens County
71,QL19008627,40.748709999999996,-73.77521999999999,11364,M,11/16/2019 07:50 PM,1409.01,1001,Queens County
72,QL19008716,40.73265,-73.74766,11427,M,11/19/2019 05:56 PM,1291.02,4007,Queens County
73,QL19008745,40.751329999999996,-73.71330999999999,11005,M,11/20/2019 02:04 PM,1551.04,3000,Queens County
74,QL19008776,40.72636,-73.78429,11432,M,11/21/2019 10:49 AM,1277,2008,Queens County
75,QL19008864,40.7391,-73.81825,11367,P,11/23/2019 05:44 PM,803.02,3014,Queens County
76,QL19008929,40.7503,-73.81877,11355,M,11/25/2019 12:29 PM,1205,1004,Queens County
77,QL19008963,40.722359999999995,-73.80969,11366,M,11/26/2019 09:37 AM,1257,3002,Queens County
78,QL19008982,40.78938,-73.82366,11357,M,11/26/2019 01:16 PM,945,2002,Queens County
79,QL19009008,40.74726,-73.71899,11004,M,11/27/2019 10:31 AM,1551.03,5003,Queens County
80,QL19009018,40.78805,-73.84566,11356,M,11/27/2019 01:35 PM,939,2007,Queens County
81,QL19009153,40.75569,-73.82005,11355,P,12/03/2019 05:58 PM,859,2001,Queens County
82,QL19009158,40.75569,-73.82005,11355,M,12/04/2019 12:41 AM,859,2001,Queens County
83,QL19009181,40.75517,-73.76488,11364,M,12/04/2019 01:02 PM,1441,4001,Queens County
84,QL19009199,40.74702,-73.71854,11004,M,12/04/2019 03:32 PM,1551.04,4004,Queens County
85,QL19009212,40.748709999999996,-73.79223,11358,P,12/05/2019 09:02 AM,1417,2004,Queens County
86,QL19009221,40.73488,-73.74941,11427,P,12/05/2019 11:16 AM,1291.02,4005,Queens County
87,QL19009224,40.72777,-73.72577,11426,P,12/05/2019 11:39 AM,1621,4005,Queens County
88,QL19009246,40.75569,-73.82005,11355,M,12/05/2019 09:07 PM,859,2001,Queens County
89,QL19009252,40.74807,-73.72100999999999,11004,P,12/06/2019 08:54 AM,1567,1000,Queens County
90,QL19009253,40.77335,-73.81141,11354,M,12/06/2019 09:08 AM,1059,2005,Queens County
91,QL19009256,40.73466,-73.71296,11001,P,12/06/2019 09:50 AM,1571.01,7012,Queens County
92,QL19009264,40.73859,-73.79726,11365,P,12/06/2019 11:54 AM,1215,1000,Queens County
93,QL19009296,40.70015,-73.78396,11433,M,12/07/2019 11:11 AM,414,3001,Queens County
94,WL17007806,40.99023,-73.8232,10583,M,08/09/2017 03:23 PM,107.01,2025,Westchester County
95,WL18002550,41.031690000000005,-73.86765,10533,M,02/15/2018 02:45 PM,113,3012,Westchester County
96,WL18009064,41.151309999999995,-73.76978000000001,10514,M,08/10/2018 09:33 AM,131.02,3032,Westchester County
97,WL19000217,41.02267,-73.87048,10522,M,01/07/2019 02:50 PM,113,3025,Westchester County
98,WL19000325,40.918209999999995,-73.82871999999999,10550,M,01/10/2019 11:06 AM,40.02,1000,Westchester County
99,WL19000383,41.202059999999996,-73.64379,10506,P,01/11/2019 10:03 PM,127,2004,Westchester County
100,WL19000570,40.89496,-73.77982,10805,M,01/14/2019 03:24 PM,57.04,2002,Westchester County
101,WL19000619,40.934470000000005,-73.79094,10804,M,01/15/2019 02:43 PM,67,4012,Westchester County
102,WL19000734,40.96744,-73.73648,10543,M,01/18/2019 08:51 AM,73,2011,Westchester County
103,WL19000754,40.9279,-73.83229,10552,M,01/18/2019 01:11 PM,151,3013,Westchester County
104,WL19001552,41.01017,-73.75399999999999,10605,M,02/04/2019 08:28 AM,97.01,2004,Westchester County
105,WL19001708,40.915079999999996,-73.84718000000001,10550,M,02/06/2019 10:24 AM,37,3009,Westchester County
106,WL19001720,40.94931,-73.83468,10708,M,02/06/2019 12:43 PM,22.02,3003,Westchester County
107,WL19001940,41.04208,-73.74286,10604,M,02/11/2019 10:12 AM,87,1013,Westchester County
108,WL19001972,41.006,-73.68205999999999,10573,M,02/11/2019 02:41 PM,83.01,2030,Westchester County
109,WL19002215,40.92179,-73.85308,10704,M,02/16/2019 02:28 PM,24.03,2002,Westchester County
110,WL19002393,41.15429,-73.85989000000002,10562,M,02/21/2019 02:06 PM,133.04,2008,Westchester County
111,WL19003247,40.97197,-73.86753,10710,M,03/12/2019 10:38 AM,9,1002,Westchester County
112,WL19003540,40.95609,-73.71953,10543,M,03/18/2019 12:04 PM,74.02,2012,Westchester County
113,WL19003737,40.918479999999995,-73.84776,10704,M,03/22/2019 05:49 PM,24.03,1002,Westchester County
114,WL19004012,40.944359999999996,-73.85998000000001,10701,P,03/29/2019 04:02 PM,17.02,2026,Westchester County
115,WL19004326,40.932990000000004,-73.79124,10804,M,04/07/2019 12:26 PM,67,4014,Westchester County
116,WL19004496,40.96739,-73.78774,10804,M,04/11/2019 02:27 PM,68.01,3015,Westchester County
117,WL19005529,41.00428,-73.67043000000001,10573,M,05/08/2019 11:34 AM,80,3008,Westchester County
118,WL19006204,40.94422,-73.86053000000001,10701,M,05/23/2019 11:11 AM,17.02,1003,Westchester County
119,WL19006263,41.009240000000005,-73.66526,10573,M,05/24/2019 10:55 AM,81,4003,Westchester County
120,WL19006278,40.91559,-73.8222,10553,M,05/25/2019 07:31 AM,41,3023,Westchester County
121,WL19006302,40.94876,-73.76571,10538,M,05/26/2019 05:52 PM,69,2014,Westchester County
122,WL19006523,40.954,-73.72551999999999,10543,M,06/03/2019 01:31 PM,74.01,3008,Westchester County
123,WL19007098,41.04866,-73.85479000000001,10533,M,06/14/2019 11:07 AM,114.02,1047,Westchester County
124,WL19007151,41.01079,-73.65972,10573,M,06/15/2019 11:09 AM,81,4007,Westchester County
125,WL19007159,41.13583,-73.85834,10510,M,06/15/2019 04:44 PM,132.01,2021,Westchester County
126,WL19007304,40.91142,-73.88905,10705,P,06/19/2019 09:03 PM,13.02,3000,Westchester County
127,WL19007383,41.18485,-73.84476,10562,M,06/21/2019 06:47 PM,137,3004,Westchester County
128,WL19007610,40.95516,-73.72869,10543,M,06/27/2019 03:41 PM,74.01,3004,Westchester County
129,WL19007749,40.96278,-73.80429000000001,10709,M,07/02/2019 09:15 AM,50.02,3013,Westchester County
130,WL19007956,40.94618,-73.75551,10538,M,07/09/2019 10:52 AM,69,3015,Westchester County
131,WL19008220,41.16097,-73.76753000000001,10514,M,07/16/2019 12:16 PM,131.02,2007,Westchester County
132,WL19008235,41.02989,-73.8665,10533,M,07/16/2019 03:34 PM,113,2005,Westchester County
