,TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTrack,CensusBlock,CountyName
273,WL19014689,40.981809999999996,-73.70115,10580,M,12/08/2019 10:17 AM,77,3006,Westchester County
274,WL19014762,41.26099,-73.77553,10598,M,12/10/2019 01:13 PM,148.09,4043,Westchester County
275,XL19015908,40.84474,-73.90759,10457,M,12/08/2019 10:11 AM,229.02,1000,Bronx County
276,XL19015986,40.83082,-73.8172,10465,P,12/10/2019 09:01 AM,160,1009,Bronx County
277,XL19015991,40.8192,-73.89576,10459,M,12/10/2019 10:07 AM,87,2002,Bronx County
278,XL19016000,40.80867,-73.85194,10473,M,12/10/2019 12:05 PM,4,3002,Bronx County
279,ML19018545,40.85471,-73.92798,10040,P,11/23/2019 01:45 PM,277,3001,New York County
280,ML19019473,40.7435,-74.00185,10011,M,12/11/2019 11:54 AM,89,2001,New York County
281,ML19019474,40.74613,-73.99788000000001,10001,M,12/11/2019 11:55 AM,93,1002,New York County
282,ML19019504,40.78855,-73.94898,10029,M,12/11/2019 08:26 PM,166,6000,New York County
283,QL19009422,40.74645,-73.82433,11355,P,12/11/2019 11:22 AM,799,1005,Queens County
284,WL19014785,40.97056,-73.78154,10804,M,12/11/2019 09:49 AM,68.01,3011,Westchester County
285,WL19014798,41.22299,-73.71500999999999,10507,M,12/11/2019 12:00 PM,128.04,1027,Westchester County
286,WL19014811,40.94234,-73.75574,10538,M,12/11/2019 04:20 PM,69,3036,Westchester County
287,ML19019523,40.737120000000004,-74.00575,10014,P,12/12/2019 09:56 AM,77,3007,New York County
288,ML19019532,40.7238,-73.98564,10009,M,12/12/2019 11:32 AM,32,4000,New York County
289,ML19019555,40.753409999999995,-73.99632,10001,M,12/12/2019 10:33 PM,111,2005,New York County
290,QL19009497,40.78775,-73.78822,11360,P,12/12/2019 09:14 PM,997.05,1020,Queens County
291,WL19014826,41.06227,-73.8088,10523,M,12/12/2019 09:05 AM,110,1016,Westchester County
292,WL19014837,41.15879,-73.77559000000001,10514,M,12/12/2019 12:03 PM,131.04,4017,Westchester County
293,WL19014844,41.185790000000004,-73.73719,10549,M,12/12/2019 01:48 PM,131.02,4001,Westchester County
294,WL19014851,40.91237,-73.84387,10550,P,12/12/2019 05:01 PM,36,2008,Westchester County
295,WL19014853,40.99958,-73.7466,10605,M,12/12/2019 05:19 PM,97.03,3020,Westchester County
296,WL19014862,41.00974,-73.81111,10583,M,12/12/2019 08:43 PM,108.01,2018,Westchester County
297,WL19014863,40.94951,-73.71333,10580,M,12/12/2019 09:53 PM,75,3026,Westchester County
298,ML19019584,40.75009,-73.99499,10001,P,12/13/2019 01:18 PM,101,1005,New York County
299,QL19009529,40.769870000000004,-73.77506,11361,M,12/13/2019 05:14 PM,1097,2001,Queens County
300,QL19009535,40.75014,-73.80745999999999,11358,M,12/13/2019 09:44 PM,1207.01,2004,Queens County
301,WL19014871,40.95448,-73.8207,10707,M,12/13/2019 07:46 AM,48.02,5008,Westchester County
302,WL19014873,40.99955,-73.76225,10605,P,12/13/2019 08:25 AM,97.01,1011,Westchester County
303,WL19014876,41.0644,-73.76751,10603,P,12/13/2019 09:02 AM,123.01,1025,Westchester County
304,WL19014880,40.96353,-73.77774000000001,10804,M,12/13/2019 09:28 AM,68.02,2015,Westchester County
305,WL19014883,41.13585,-73.79028000000001,10570,M,12/13/2019 09:53 AM,122.02,6007,Westchester County
306,WL19014884,40.96546,-73.86791,10710,M,12/13/2019 10:23 AM,19,1008,Westchester County
307,WL19014891,41.0609,-73.86277,10591,M,12/13/2019 11:12 AM,114.02,1005,Westchester County
308,WL19014907,41.03845,-73.74811,10604,M,12/13/2019 01:42 PM,87,3000,Westchester County
309,WL19014911,41.03632,-73.83689,10607,P,12/13/2019 02:00 PM,111.01,4008,Westchester County
310,WL19014912,41.01425,-73.84056,10502,M,12/13/2019 02:12 PM,106,2004,Westchester County
311,WL19014916,40.996179999999995,-73.82048,10583,M,12/13/2019 04:01 PM,107.01,4014,Westchester County
312,WL19014917,41.105709999999995,-73.79385,10532,M,12/13/2019 04:10 PM,120,3019,Westchester County
313,WL19014921,40.9805,-73.83081999999999,10710,M,12/13/2019 05:02 PM,21.01,2008,Westchester County
314,WL19014925,41.20606,-73.89231,10520,M,12/13/2019 09:06 PM,139,3005,Westchester County
315,WL19014932,40.92857,-73.79673000000001,10804,P,12/14/2019 03:29 AM,66,2008,Westchester County
316,XL19016133,40.846709999999995,-73.88547,10460,M,12/13/2019 09:23 AM,371,1002,Bronx County
317,XL19016146,40.87875,-73.84629,10469,P,12/13/2019 11:56 AM,386,2007,Bronx County
318,XL19016163,40.86402,-73.86327,10467,P,12/13/2019 04:20 PM,328,1003,Bronx County
319,ML19019629,40.736340000000006,-74.00832,10014,P,12/14/2019 10:28 AM,79,2002,New York County
320,QL19009542,40.77655,-73.7735,11360,P,12/14/2019 10:36 AM,1093,2005,Queens County
321,WL19014941,41.20896,-73.88792,10520,M,12/14/2019 09:59 AM,139,4026,Westchester County
322,WL19014943,40.94641,-73.7634,10538,M,12/14/2019 09:49 AM,70,3000,Westchester County
323,WL19014945,40.9378,-73.72963,10543,P,12/14/2019 11:09 AM,72,2009,Westchester County
324,WL19014949,40.93824,-73.86559,10701,P,12/14/2019 11:54 AM,23,1000,Westchester County
325,WL19014956,40.99481,-73.78076,10583,M,12/14/2019 01:11 PM,99,3008,Westchester County
326,WL19014973,40.97671,-73.77443000000001,10583,P,12/14/2019 06:45 PM,98,1015,Westchester County
327,XL19016123,40.82798,-73.92585,10452,M,12/12/2019 08:35 PM,63.02,1003,Bronx County
328,ML19019678,40.72398,-73.98605,10009,M,12/15/2019 09:58 AM,32,4000,New York County
329,QL19009566,40.73512,-73.70555,11001,P,12/15/2019 10:52 AM,1579.03,3000,Queens County
330,WL19014984,40.9984,-73.71722,10580,M,12/15/2019 09:49 AM,85,2007,Westchester County
331,WL19015001,41.16409,-73.77739,10514,M,12/16/2019 03:42 AM,131.04,3021,Westchester County
332,ML19019021,40.77458,-73.96401999999999,10021,P,12/02/2019 01:46 PM,130,4000,New York County
333,ML19019721,40.7453,-73.98685,10001,M,12/16/2019 09:41 AM,76,2004,New York County
334,ML19019737,40.72605,-74.00962,10013,M,12/16/2019 01:07 PM,37,1009,New York County
335,QL19009583,40.73467,-73.74934,11427,M,12/16/2019 10:44 AM,1291.02,4004,Queens County
336,QL19009591,40.72132,-73.81138,11367,P,12/16/2019 12:28 PM,779.04,2003,Queens County
337,QL19009593,40.72203,-73.81674,11367,M,12/16/2019 12:53 PM,779.04,4000,Queens County
338,QL19009602,40.77505,-73.9193,11102,P,12/16/2019 07:27 PM,97,3000,Queens County
339,QL19009607,40.73445,-73.74931,11427,M,12/16/2019 11:00 PM,1291.02,4005,Queens County
340,WL19015010,41.26082,-73.94069,10511,P,12/16/2019 10:31 AM,140,1019,Westchester County
341,WL19015027,40.92655,-73.73425999999999,10543,P,12/16/2019 01:29 PM,72,4002,Westchester County
342,WL19015037,40.95432,-73.81212,10709,P,12/16/2019 03:11 PM,51,2006,Westchester County
343,WL19015045,40.98579,-73.83281,10583,M,12/16/2019 05:00 PM,107.01,2019,Westchester County
344,WL19015048,40.95252,-73.86607,10701,P,12/16/2019 05:16 PM,17.01,4008,Westchester County
345,XL19016269,40.86115,-73.89699999999999,10458,M,12/16/2019 08:21 AM,237.02,1001,Bronx County
346,XL19016292,40.82188,-73.80963,10465,M,12/16/2019 01:21 PM,138,1026,Bronx County
347,XL19016314,40.89674,-73.84227,10466,M,12/16/2019 06:19 PM,448,1002,Bronx County
348,ML19009535,40.77043,-73.96011,10021,M,06/19/2019 09:48 AM,126.01,1001,New York County
349,ML19018792,40.756640000000004,-73.98046,10036,P,11/27/2019 11:44 AM,96,1003,New York County
350,ML19019780,40.76903,-73.9849,10019,M,12/17/2019 07:48 AM,145,4000,New York County
351,ML19019789,40.74595,-73.99801,10011,M,12/17/2019 11:15 AM,91,3000,New York County
352,QL19009647,40.76435,-73.7344,11362,P,12/17/2019 06:56 PM,1507.02,2009,Queens County
353,WL19014408,41.02048,-73.78994,10530,M,12/02/2019 10:20 AM,108.04,1020,Westchester County
354,WL19015068,40.94899,-73.83811,10708,M,12/17/2019 08:41 AM,22.02,3010,Westchester County
355,WL19015106,40.94811,-73.77764,10804,P,12/17/2019 05:28 PM,67,1008,Westchester County
356,XL19016295,40.90378,-73.89929000000001,10471,P,12/16/2019 01:58 PM,345,2002,Bronx County
357,ML19019847,40.74735,-73.99699,10001,P,12/18/2019 11:00 AM,95,2003,New York County
358,ML19019861,40.72094,-73.9888,10002,P,12/18/2019 01:48 PM,30.01,2002,New York County
359,WL19015124,40.985170000000004,-73.83343,10710,M,12/18/2019 08:34 AM,21.01,2000,Westchester County
360,WL19015125,41.25351,-73.93330999999999,10548,P,12/18/2019 08:49 AM,146.04,1004,Westchester County
361,XL19016387,40.87915,-73.85931,10467,P,12/18/2019 07:28 AM,380,2000,Bronx County
362,ML19016350,40.80008,-73.95494000000001,10026,P,10/21/2019 10:35 AM,216,5000,New York County
363,ML19017813,40.74763,-73.97478000000001,10016,P,11/12/2019 08:10 AM,78,1000,New York County
364,ML19019901,40.75249,-73.98058,10017,P,12/19/2019 11:49 AM,82,1001,New York County
365,ML19019909,40.72224,-74.00078,10013,P,12/19/2019 01:21 PM,47,2011,New York County
366,QL19008983,40.74394,-73.70111,11040,M,11/26/2019 01:35 PM,1579.01,3000,Queens County
367,WL19015172,40.930820000000004,-73.85985,10704,P,12/19/2019 09:06 AM,24.05,1006,Westchester County
368,QL19009718,40.718759999999996,-73.74409,11428,M,12/20/2019 06:50 AM,542,2009,Queens County
369,QL19009720,40.73194,-73.80404,11365,P,12/20/2019 08:27 AM,1223,3009,Queens County
370,QL19009753,40.718759999999996,-73.74409,11428,M,12/20/2019 04:26 PM,542,2009,Queens County
371,WL19015214,40.94272,-73.85485,10701,M,12/20/2019 09:38 AM,23,2000,Westchester County
372,WL19015215,41.16441,-73.77797,10514,M,12/20/2019 09:44 AM,131.04,3025,Westchester County
373,WL19015218,40.964459999999995,-73.87886999999999,10703,P,12/20/2019 10:21 AM,8.01,1002,Westchester County
374,WL19015219,40.920190000000005,-73.85088,10704,P,12/20/2019 10:24 AM,24.03,1008,Westchester County
375,WL19015230,40.932140000000004,-73.88721,10701,M,12/20/2019 01:28 PM,11.02,3001,Westchester County
376,WL19015236,40.94702,-73.85826999999999,10701,M,12/20/2019 03:25 PM,17.02,2023,Westchester County
377,WL19015237,40.94723,-73.85818,10701,M,12/20/2019 03:41 PM,17.02,2023,Westchester County
378,WL19015258,40.965140000000005,-73.81758,10709,P,12/20/2019 10:44 PM,50.02,2020,Westchester County
379,ML19019998,40.741040000000005,-73.97865,10016,P,12/21/2019 01:00 AM,66,2000,New York County
380,ML19020011,40.83692,-73.94269,10032,M,12/21/2019 09:14 AM,245,4001,New York County
381,QL19009767,40.75911,-73.7905,11358,P,12/21/2019 09:04 AM,1175,4007,Queens County
382,QL19009777,40.74747,-73.71435,11004,M,12/21/2019 12:02 PM,1551.04,4002,Queens County
383,QL19009780,40.7227,-73.80072,11366,M,12/21/2019 01:19 PM,1265,1000,Queens County
384,QL19009781,40.74747,-73.71435,11004,M,12/21/2019 01:29 PM,1551.04,4002,Queens County
385,QL19009782,40.73985,-73.9279,11101,P,12/21/2019 03:51 PM,189,2006,Queens County
386,QL19009784,40.7605,-73.78052,11361,P,12/21/2019 04:06 PM,1463,1003,Queens County
387,QL19009785,40.75845,-73.78123000000001,11361,P,12/21/2019 05:15 PM,1463,1005,Queens County
388,QL19009787,40.7225,-73.80099,11432,M,12/21/2019 05:32 PM,1265,1000,Queens County
389,QL19009788,40.73466,-73.71296,11001,P,12/21/2019 06:26 PM,1571.01,7012,Queens County
390,WL19015277,41.05008,-73.81976,10523,M,12/21/2019 12:00 PM,112,1018,Westchester County
391,WL19015286,41.29717,-73.89402,10566,P,12/21/2019 01:26 PM,144,3000,Westchester County
392,WL19015295,40.93457,-73.89128000000001,10701,P,12/21/2019 06:00 PM,11.01,2004,Westchester County
393,WL19015300,40.92993,-73.80587,10708,M,12/21/2019 07:18 PM,52,1010,Westchester County
394,WL19015303,41.154759999999996,-73.85101999999999,10510,M,12/21/2019 09:38 PM,132.02,2014,Westchester County
395,WL19015308,41.29717,-73.89402,10566,P,12/22/2019 01:19 AM,144,3000,Westchester County
396,XL19016545,40.88585,-73.85691,10466,P,12/21/2019 10:26 AM,406,1004,Bronx County
397,XL19016547,40.813520000000004,-73.88479,10474,M,12/21/2019 11:05 AM,93.01,5003,Bronx County
398,XL19016563,40.82995,-73.86026,10472,P,12/21/2019 05:45 PM,72,1003,Bronx County
399,XL19016569,40.82996,-73.86015,10472,P,12/21/2019 09:35 PM,40.01,1000,Bronx County
400,ML19020049,40.86695,-73.92333,10034,M,12/22/2019 08:39 AM,295,3001,New York County
401,QL19009803,40.72309,-73.80091,11366,P,12/22/2019 01:04 PM,1241,2007,Queens County
402,QL19009812,40.759370000000004,-73.79054000000001,11358,M,12/22/2019 04:43 PM,1175,4007,Queens County
403,WL19015310,40.927640000000004,-73.74636,10538,M,12/22/2019 08:10 AM,71,1005,Westchester County
404,WL19015314,41.20985,-73.88973,10520,P,12/22/2019 10:00 AM,139,4000,Westchester County
405,WL19015323,40.953070000000004,-73.71325999999999,10580,M,12/22/2019 12:47 PM,75,3023,Westchester County
406,WL19015334,40.94601,-73.88723,10703,M,12/22/2019 08:10 PM,6.01,2001,Westchester County
407,WL19015336,40.965559999999996,-73.86969,10710,P,12/22/2019 09:11 PM,19,1007,Westchester County
408,ML19020087,40.78297,-73.9553,10128,P,12/23/2019 09:18 AM,150.02,1000,New York County
409,ML19020098,40.79092,-73.93913,10029,P,12/23/2019 11:16 AM,170,5000,New York County
410,ML19020114,40.7179,-74.00624,10013,M,12/23/2019 03:38 PM,33,2007,New York County
411,ML19020123,40.742940000000004,-73.99085,10010,P,12/23/2019 05:47 PM,58,1007,New York County
412,ML19020132,40.72094,-73.9888,10002,M,12/23/2019 10:43 PM,30.01,2002,New York County
413,QL19009826,40.73093,-73.8005,11365,P,12/23/2019 10:57 AM,1241,1002,Queens County
414,QL19009828,40.73061,-73.79381,11365,P,12/23/2019 11:18 AM,1247,2009,Queens County
415,QL19009836,40.73093,-73.8005,11365,P,12/23/2019 12:44 PM,1241,1002,Queens County
416,QL19009838,40.77363,-73.77766,11360,P,12/23/2019 01:13 PM,1093,3006,Queens County
417,WL19015344,40.92458,-73.76834000000001,10801,M,12/23/2019 10:00 AM,59.02,2002,Westchester County
418,XL19016627,40.82925,-73.85994000000001,10472,P,12/23/2019 08:02 AM,72,1002,Bronx County
419,XL19016628,40.90218,-73.84161,10466,M,12/23/2019 08:10 AM,444,4001,Bronx County
420,XL19016665,40.87471,-73.90357,10463,M,12/23/2019 02:55 PM,273,1003,Bronx County
421,ML19020148,40.70577,-74.00697,10005,P,12/24/2019 12:11 PM,7,1005,New York County
422,QL19009871,40.74568,-73.78291,11365,P,12/24/2019 11:39 PM,1409.02,1000,Queens County
423,QL19009872,40.74573,-73.78275,11365,P,12/24/2019 11:40 PM,1409.02,1000,Queens County
424,WL19015392,40.99819,-73.7703,10583,M,12/24/2019 09:57 AM,99,2001,Westchester County
425,WL19015395,40.94234,-73.75574,10538,M,12/24/2019 10:52 AM,69,3036,Westchester County
426,WL19015398,40.9794,-73.78166,10583,M,12/24/2019 12:15 PM,68.01,2010,Westchester County
427,WL19015501,40.936679999999996,-73.86166,10701,M,12/24/2019 07:58 PM,23,2012,Westchester County
428,WL19015515,40.94911,-73.86961,10701,M,12/24/2019 10:03 PM,17.01,6009,Westchester County
429,WL19015519,40.94575,-73.87139,10701,P,12/24/2019 10:55 PM,17.01,3003,Westchester County
430,WL19015544,40.96477,-73.86976,10710,P,12/25/2019 03:09 AM,19,1007,Westchester County
431,ML19020183,40.73556,-73.98659,10003,M,12/25/2019 01:32 PM,50,5000,New York County
432,ML19020196,40.71008,-74.00744,10038,P,12/25/2019 08:40 PM,15.01,1015,New York County
433,QL19009882,40.75092,-73.79044,11358,M,12/25/2019 10:03 PM,1459,3002,Queens County
434,WL19015548,40.99819,-73.7703,10583,M,12/25/2019 10:11 AM,99,2001,Westchester County
435,WL19015557,40.98407,-73.69631,10580,M,12/25/2019 02:55 PM,77,3005,Westchester County
436,WL19015568,40.97638,-73.78998,10583,P,12/25/2019 11:41 PM,68.01,4011,Westchester County
437,ML19020218,40.83728,-73.94008000000001,10032,M,12/26/2019 01:41 PM,245,1001,New York County
438,ML19020240,40.74325,-73.99158,10010,P,12/27/2019 12:38 AM,58,1007,New York County
439,QL19009894,40.75822,-73.94117,11101,M,12/26/2019 10:07 AM,85,2002,Queens County
440,QL19009909,40.76764,-73.78624,11361,M,12/26/2019 03:43 PM,1099,1006,Queens County
441,QL19009910,40.7376,-73.71534,11426,M,12/26/2019 04:49 PM,1571.01,6007,Queens County
442,WL19015573,40.962559999999996,-73.80404,10709,M,12/26/2019 07:37 AM,50.02,3013,Westchester County
443,WL19015585,41.03575,-73.86528,10533,M,12/26/2019 12:57 PM,113,4015,Westchester County
444,WL19015590,41.04802,-73.81022,10523,M,12/26/2019 02:16 PM,112,2040,Westchester County
445,WL19015603,40.9093,-73.78028,10801,M,12/26/2019 05:34 PM,59.01,3002,Westchester County
446,WL19015614,40.94845,-73.77245,10804,M,12/26/2019 10:09 PM,67,1008,Westchester County
447,XL19016755,40.903459999999995,-73.8549,10470,P,12/26/2019 09:46 AM,414,4013,Bronx County
448,XL19016794,40.81735,-73.91971,10451,M,12/26/2019 07:05 PM,65,3000,Bronx County
449,QL19009948,40.741690000000006,-73.81303,11355,M,12/27/2019 04:35 PM,1215,2007,Queens County
450,WL19015619,40.90573,-73.83176,10550,M,12/27/2019 07:49 AM,32,2004,Westchester County
451,WL19015620,41.04152,-73.86186000000002,10533,M,12/27/2019 07:49 AM,113,1007,Westchester County
452,WL19015625,41.04198,-73.86012,10533,M,12/27/2019 10:00 AM,113,1007,Westchester County
453,WL19015634,40.982820000000004,-73.83731,10710,P,12/27/2019 11:06 AM,21.01,2004,Westchester County
454,WL19015639,41.15513,-73.85579,10510,M,12/27/2019 11:40 AM,132.02,2012,Westchester County
455,WL19015647,40.91104,-73.86406,10704,M,12/27/2019 12:14 PM,15.04,4006,Westchester County
456,WL19015653,40.9359,-73.8564,10704,P,12/27/2019 01:25 PM,23,2026,Westchester County
457,WL19015658,40.992129999999996,-73.66738000000001,10573,P,12/27/2019 02:23 PM,78,3003,Westchester County
458,WL19015671,41.052170000000004,-73.81356,10523,P,12/27/2019 06:57 PM,112,3025,Westchester County
459,WL19015673,40.92972,-73.82431,10552,M,12/27/2019 07:20 PM,151,2013,Westchester County
460,WL19015677,40.95094,-73.69116,10580,M,12/27/2019 09:26 PM,76,2005,Westchester County
461,WL19015680,40.91975,-73.7705,10801,P,12/28/2019 12:36 AM,59.02,2017,Westchester County
462,QL19009955,40.74737,-73.71608,11004,M,12/28/2019 08:43 AM,1551.04,4003,Queens County
463,QL19009959,40.75725,-73.81047,11355,P,12/28/2019 12:49 PM,1189,1007,Queens County
464,QL19009964,40.74219,-73.93408000000001,11101,P,12/28/2019 08:46 PM,199.01,1004,Queens County
465,WL19015684,40.89718,-73.80396999999999,10803,M,12/28/2019 05:30 AM,55,1017,Westchester County
466,WL19015695,41.04658,-73.86079000000001,10533,M,12/28/2019 12:28 PM,113,1013,Westchester County
467,WL19015703,40.99519,-73.75809,10583,M,12/28/2019 04:47 PM,98,2000,Westchester County
468,WL19015709,40.91945,-73.8085,10803,M,12/28/2019 06:28 PM,53,2002,Westchester County
469,WL19015717,40.9467,-73.89187,10703,M,12/29/2019 12:37 AM,6.02,4001,Westchester County
470,ML19020315,40.78967,-73.96985,10024,P,12/29/2019 07:22 AM,177,6000,New York County
471,ML19020324,40.71693,-73.9987,10013,M,12/29/2019 02:43 PM,29.02,2001,New York County
472,ML19020325,40.78844,-73.94906,10029,M,12/29/2019 02:46 PM,166,6000,New York County
473,WL19015725,40.99255,-73.76091,10583,P,12/29/2019 11:20 AM,98,2026,Westchester County
474,WL19015733,41.02727,-73.80238,10530,M,12/29/2019 05:18 PM,108.03,2013,Westchester County
475,XL19016894,40.88973,-73.83673,10466,P,12/29/2019 09:08 PM,426,3000,Bronx County
476,QL19010003,40.719640000000005,-73.82554,11367,P,12/30/2019 06:16 PM,779.03,3002,Queens County
477,XL19016915,40.8747,-73.90357,10463,P,12/30/2019 12:50 PM,273,1003,Bronx County
478,ML19020412,40.74907,-73.98603,10016,M,12/31/2019 01:21 PM,76,1000,New York County
479,QL19010031,40.74565,-73.92484,11104,P,12/31/2019 04:58 PM,181.01,2001,Queens County
480,WL19015783,41.07626,-73.85834,10591,M,12/31/2019 09:47 AM,115,1022,Westchester County
481,WL19015786,40.94443,-73.77646,10804,M,12/31/2019 10:08 AM,67,1016,Westchester County
482,WL19015788,41.15513,-73.85579,10510,M,12/31/2019 10:30 AM,132.02,2012,Westchester County
483,WL19015790,40.92179,-73.88809,10705,P,12/31/2019 11:02 AM,13.01,2013,Westchester County
484,WL19015791,41.13282,-73.86576,10510,M,12/31/2019 11:38 AM,132.01,2052,Westchester County
485,WL19015796,41.04802,-73.81022,10523,M,12/31/2019 12:29 PM,112,2040,Westchester County
486,WL19015799,40.92168,-73.75433000000001,10538,M,12/31/2019 01:02 PM,71,3014,Westchester County
487,WL19015805,41.06688,-73.85540999999999,10591,M,12/31/2019 03:56 PM,114.01,2004,Westchester County
488,ML20000025,40.72011,-74.00288,10013,P,01/01/2020 08:32 PM,47,2014,New York County
489,WL20000016,41.03897,-73.81011,10607,P,01/01/2020 06:26 PM,109.03,4041,Westchester County
490,XL20000023,40.810109999999995,-73.92359,10454,M,01/01/2020 08:23 PM,39,2001,Bronx County
491,ML20000034,40.76144,-73.95772,10065,P,01/02/2020 07:47 AM,106.02,1000,New York County
492,ML20000048,40.70831,-74.00967,10005,P,01/02/2020 11:03 AM,7,1000,New York County
493,ML20000070,40.76522,-73.98917,10019,M,01/02/2020 06:42 PM,133,4001,New York County
494,QL20000009,40.77278,-73.77558,11361,P,01/02/2020 09:09 AM,1093,3007,Queens County
495,QL20000027,40.73859,-73.79726,11365,M,01/02/2020 12:11 PM,1215,1000,Queens County
496,QL20000034,40.77709,-73.751,11363,M,01/02/2020 02:36 PM,1483,3017,Queens County
497,QL20000035,40.781459999999996,-73.91561,11105,M,01/02/2020 02:37 PM,103,2001,Queens County
498,QL20000039,40.71501,-73.80911,11432,P,01/02/2020 06:48 PM,230,1001,Queens County
499,WL19014605,40.95903,-73.72984,10543,M,12/06/2019 10:47 AM,74.01,3000,Westchester County
500,WL20000024,40.914970000000004,-73.87732,10705,P,01/02/2020 07:49 AM,14.02,2004,Westchester County
501,WL20000025,41.06844,-73.79630999999999,10603,M,01/02/2020 08:10 AM,109.01,1017,Westchester County
502,WL20000027,40.941629999999996,-73.79154,10804,P,01/02/2020 09:20 AM,67,3010,Westchester County
503,WL20000029,41.27285,-73.93081,10566,M,01/02/2020 09:40 AM,141,3018,Westchester County
504,WL20000030,40.974059999999994,-73.77287,10583,M,01/02/2020 09:42 AM,98,4012,Westchester County
505,WL20000034,40.94288,-73.84153,10708,P,01/02/2020 10:19 AM,22.02,4027,Westchester County
506,WL20000038,41.32512,-73.88268000000001,10567,M,01/02/2020 11:03 AM,147.03,2011,Westchester County
507,WL20000039,40.96557,-73.71643,10528,M,01/02/2020 11:04 AM,84.04,5008,Westchester County
508,WL20000042,40.99334,-73.67689,10573,M,01/02/2020 11:50 AM,79.01,2012,Westchester County
509,WL20000051,41.28403,-73.93056,10566,P,01/02/2020 02:26 PM,141,4003,Westchester County
510,WL20000058,41.13895,-73.77188000000001,10570,M,01/02/2020 04:39 PM,121.01,2019,Westchester County
511,WL20000064,41.01403,-73.6601,10573,M,01/02/2020 06:09 PM,81,1006,Westchester County
512,WL20000067,40.89483,-73.7799,10805,M,01/02/2020 08:40 PM,57.04,2002,Westchester County
513,XL20000035,40.878040000000006,-73.83322,10475,P,01/02/2020 09:53 AM,462.07,3005,Bronx County
514,XL20000038,40.86988,-73.90088,10468,P,01/02/2020 10:21 AM,267.01,1001,Bronx County
515,XL20000060,40.850359999999995,-73.78473000000001,10464,P,01/02/2020 02:36 PM,516.01,1016,Bronx County
516,XL20000080,40.84806,-73.78439,10464,P,01/02/2020 08:58 PM,516.01,3004,Bronx County
517,ML20000086,40.77867,-73.97964,10023,P,01/03/2020 07:27 AM,157,5000,New York County
518,ML20000098,40.763020000000004,-73.99364,10036,P,01/03/2020 09:51 AM,129.02,1008,New York County
519,ML20000104,40.72358,-73.99271999999999,10002,P,01/03/2020 11:40 AM,36.01,3001,New York County
520,ML20000109,40.79508,-73.96221,10025,M,01/03/2020 12:46 PM,189,2001,New York County
521,ML20000120,40.70831,-74.00967,10005,P,01/03/2020 01:57 PM,7,1000,New York County
522,ML20000126,40.73986,-73.97775,10016,P,01/03/2020 04:00 PM,66,8002,New York County
523,WL20000077,41.17669,-73.8444,10562,M,01/03/2020 09:22 AM,135,1007,Westchester County
524,WL20000085,41.2931,-73.85318000000001,10547,M,01/03/2020 10:25 AM,148.05,1023,Westchester County
525,WL20000092,40.91572,-73.85656999999999,10704,M,01/03/2020 11:53 AM,24.03,4025,Westchester County
526,WL20000094,41.2926,-73.89829,10566,M,01/03/2020 12:39 PM,145,1004,Westchester County
527,WL20000097,40.96537,-73.73233,10543,P,01/03/2020 01:06 PM,73,2000,Westchester County
528,WL20000108,41.15513,-73.85579,10510,M,01/03/2020 02:33 PM,132.02,2012,Westchester County
529,WL20000109,41.026720000000005,-73.68675,10573,M,01/03/2020 02:37 PM,83.02,2004,Westchester County
530,WL20000115,41.06688,-73.85540999999999,10591,P,01/03/2020 03:52 PM,114.01,2004,Westchester County
531,WL20000118,41.02642,-73.68668000000001,10573,P,01/03/2020 04:25 PM,83.02,2004,Westchester County
532,WL20000125,40.965540000000004,-73.7324,10543,M,01/03/2020 08:06 PM,73,2000,Westchester County
533,WL20000127,41.03098,-73.68456,10573,M,01/03/2020 09:47 PM,83.02,3031,Westchester County
534,XL20000091,40.83915,-73.86735999999999,10460,M,01/03/2020 08:37 AM,218,3000,Bronx County
535,XL20000126,40.824459999999995,-73.8896,10459,P,01/03/2020 03:38 PM,119,3000,Bronx County
536,WL20000082,40.96739,-73.78774,10804,M,01/03/2020 10:01 AM,68.01,3015,Westchester County
537,ML20000162,40.77203,-73.95602,10075,P,01/04/2020 12:58 PM,134,1000,New York County
538,ML20000174,40.78086,-73.9588,10028,P,01/04/2020 03:41 PM,150.02,2001,New York County
539,ML20000176,40.757459999999995,-73.97168,10022,P,01/04/2020 03:59 PM,100,1004,New York County
540,ML20000184,40.753409999999995,-73.99632,10001,M,01/04/2020 06:11 PM,111,2005,New York County
541,ML20000195,40.71174,-74.00029,10038,P,01/04/2020 10:57 PM,27,1005,New York County
542,QL20000074,40.76957,-73.80556999999999,11358,P,01/04/2020 08:07 AM,1151,1001,Queens County
543,QL20000075,40.76761,-73.76608,11361,P,01/04/2020 09:13 AM,1113,3007,Queens County
544,QL20000084,40.759370000000004,-73.79054000000001,11358,M,01/04/2020 12:22 PM,1175,4007,Queens County
545,QL20000086,40.74584,-73.71736999999999,11004,P,01/04/2020 02:00 PM,1551.04,4005,Queens County
546,QL20000094,40.759370000000004,-73.79054000000001,11358,M,01/04/2020 06:37 PM,1175,4007,Queens County
547,WL20000133,41.33703,-73.78707,10535,M,01/04/2020 07:51 AM,148.06,5015,Westchester County
548,WL20000134,40.91813,-73.90502,10705,P,01/04/2020 08:53 AM,2.02,3005,Westchester County
